다|多
다설기분군관개|多殺其本郡冠蓋
다설도간장좌|多殺陶侃將佐
다설문덕지교|多設文德之敎
다설사졸|多殺士卒
다설설|多說舌
다설수령이응지|多殺守令以應之
다설수영이응지|多殺守令以應之
다설자지|多殺次之
다설차지|多殺次之
다설충량|多殺忠良
다설충양|多殺忠良
다설황제요순우탕문무수도서지사|多說黃帝堯舜禹湯文武受圖書之事
다세|茶稅
다세간열지상자|多說姦淫之狀者
다세간열지장자|多說姦淫之狀者
다세간염지상자|多說姦淫之狀者
다세간염지장자|多說姦淫之狀者
다세간요지상자|多說姦淫之狀者
다세간요지장자|多說姦淫之狀者
다세간윤지상자|多說姦淫之狀者
다세간윤지장자|多說姦淫之狀者
다세간음지상자|多說姦淫之狀者
다세간음지장자|多說姦淫之狀者
다세공아조|多說供兒曹
다세설|多說舌
다세황제요순우탕문무수도서지사|多說黃帝堯舜禹湯文武受圖書之事
다소|多少
다소간고|多少艱苦
다소강유|多所降宥
다소계수|多所啟授
다소공헌|多所貢獻
다소구기|多所拘忌
다소구색|多所求索
다소극획|多所克獲
다소난문|多所難問
다소능절|多所陵折
다소능홀|多所陵忽
다소릉절|多所陵折
다소릉홀|多所陵忽
다소림사|多少臨事
다소무법이류|多少無法而流
다소무법이유|多少無法而流
다소미가|多所未暇
다소미행|多所未行
다소벽소|多所辟召
다소부동|多少不同
다소불동|多少不同
다소비소|多所辟召
다소사대|多所舍貸
다소사방맹장|多召四方猛將
다소사특|多所舍貸
다소살상|多所殺傷
다소상살|多所傷殺
다소상설|多所傷殺
다소상쇄|多所傷殺
다소상시|多所傷殺
다소설상|多所殺傷
다소성립|多所成立
다소성입|多所成立
다소쇄상|多所殺傷
다소수완|多所修完
다소수의|多少隨意
다소수이|多少雖異
다소시상|多所殺傷
다소시정|多所諟正
다소언무법|多少言無法
다소요발|多所擾發
다소우|多所憂
다소원대|多所原貸
다소원특|多所原貸
다소이제|多少異制
다소이차|多少已差
다소인지죄|多小人之罪
